Message ID, CreationTime [μs]  , ReceiveTime [μs] , TimeDifference [μs]
0, 5000000, 5002083, 2083
1, 5000500, 5002118, 1618
2, 5001000, 5002131, 1131
3, 5001500, 5002144, 644
4, 5002000, 5002157, 157
5, 5002500, 5002512, 12
6, 5003000, 5003012, 12
7, 5003500, 5003512, 12
8, 5004000, 5008012, 4012
9, 5004500, 5008025, 3525
10, 5005000, 5008038, 3038
11, 5005500, 5008052, 2552
12, 5006000, 5008065, 2065
13, 5006500, 5008078, 1578
14, 5007000, 5008091, 1091
15, 5007500, 5008105, 605
16, 5008000, 5008118, 118
17, 5008500, 5008512, 12
18, 5009000, 5009012, 12
19, 5009500, 5009512, 12
20, 5010000, 5014025, 4025
21, 5010500, 5014038, 3538
22, 5011000, 5014052, 3052
23, 5011500, 5014065, 2565
24, 5012000, 5014078, 2078
25, 5012500, 5014091, 1591
26, 5013000, 5014105, 1105
27, 5013500, 5014118, 618
28, 5014000, 5014131, 131
29, 5014500, 5014512, 12
30, 5015000, 5015012, 12
31, 5015500, 5015512, 12
32, 5016000, 5020012, 4012
33, 5016500, 5020025, 3525
34, 5017000, 5020038, 3038
35, 5017500, 5020052, 2552
36, 5018000, 5020065, 2065
37, 5018500, 5020078, 1578
38, 5019000, 5020092, 1092
39, 5019500, 5020105, 605
40, 5020000, 5020131, 131
41, 5020500, 5020512, 12
42, 5021000, 5021012, 12
43, 5021500, 5021512, 12
44, 5022000, 5026012, 4012
45, 5022500, 5026025, 3525
46, 5023000, 5026038, 3038
47, 5023500, 5026052, 2552
48, 5024000, 5026065, 2065
49, 5024500, 5026078, 1578
50, 5025000, 5026092, 1092
51, 5025500, 5026105, 605
52, 5026000, 5026118, 118
53, 5026500, 5026512, 12
54, 5027000, 5027012, 12
55, 5027500, 5027512, 12
56, 5028000, 5032012, 4012
57, 5028500, 5032025, 3525
58, 5029000, 5032038, 3038
59, 5029500, 5032052, 2552
60, 5030000, 5032078, 2078
61, 5030500, 5032091, 1591
62, 5031000, 5032105, 1105
63, 5031500, 5032118, 618
64, 5032000, 5032131, 131
65, 5032500, 5032512, 12
66, 5033000, 5033012, 12
67, 5033500, 5033512, 12
68, 5034000, 5038012, 4012
69, 5034500, 5038025, 3525
70, 5035000, 5038038, 3038
71, 5035500, 5038052, 2552
72, 5036000, 5038065, 2065
73, 5036500, 5038078, 1578
74, 5037000, 5038092, 1092
75, 5037500, 5038105, 605
76, 5038000, 5038118, 118
77, 5038500, 5038512, 12
78, 5039000, 5039012, 12
79, 5039500, 5039512, 12
80, 5040000, 5044025, 4025
81, 5040500, 5044038, 3538
82, 5041000, 5044052, 3052
83, 5041500, 5044065, 2565
84, 5042000, 5044078, 2078
85, 5042500, 5044091, 1591
86, 5043000, 5044105, 1105
87, 5043500, 5044118, 618
88, 5044000, 5044131, 131
89, 5044500, 5044512, 12
90, 5045000, 5045012, 12
91, 5045500, 5045512, 12
92, 5046000, 5050012, 4012
93, 5046500, 5050025, 3525
94, 5047000, 5050038, 3038
95, 5047500, 5050052, 2552
96, 5048000, 5050065, 2065
97, 5048500, 5050078, 1578
98, 5049000, 5050092, 1092
99, 5049500, 5050105, 605
100, 5050000, 5050131, 131
101, 5050500, 5050512, 12
102, 5051000, 5051012, 12
103, 5051500, 5051512, 12
104, 5052000, 5056012, 4012
105, 5052500, 5056025, 3525
106, 5053000, 5056039, 3039
107, 5053500, 5056052, 2552
108, 5054000, 5056065, 2065
109, 5054500, 5056079, 1579
110, 5055000, 5056092, 1092
111, 5055500, 5056106, 606
112, 5056000, 5056119, 119
113, 5056500, 5056512, 12
114, 5057000, 5057012, 12
115, 5057500, 5057512, 12
116, 5058000, 5062012, 4012
117, 5058500, 5062025, 3525
118, 5059000, 5062039, 3039
119, 5059500, 5062052, 2552
120, 5060000, 5062079, 2079
121, 5060500, 5062092, 1592
122, 5061000, 5062105, 1105
123, 5061500, 5062119, 619
124, 5062000, 5062132, 132
125, 5062500, 5062512, 12
126, 5063000, 5063012, 12
127, 5063500, 5063512, 12
128, 5064000, 5068012, 4012
129, 5064500, 5068025, 3525
130, 5065000, 5068039, 3039
131, 5065500, 5068052, 2552
132, 5066000, 5068065, 2065
133, 5066500, 5068079, 1579
134, 5067000, 5068092, 1092
135, 5067500, 5068106, 606
136, 5068000, 5068119, 119
137, 5068500, 5068512, 12
138, 5069000, 5069012, 12
139, 5069500, 5069512, 12
140, 5070000, 5074025, 4025
141, 5070500, 5074038, 3538
142, 5071000, 5074052, 3052
143, 5071500, 5074065, 2565
144, 5072000, 5074079, 2079
145, 5072500, 5074092, 1592
146, 5073000, 5074105, 1105
147, 5073500, 5074119, 619
148, 5074000, 5074132, 132
