Message ID, CreationTime [μs]  , ReceiveTime [μs] , TimeDifference [μs]
197, 6001970, 6010249, 8279
198, 6001980, 6010263, 8283
199, 6001990, 6010276, 8286
200, 6002000, 6010302, 8302
201, 6002010, 6010316, 8306
202, 6002020, 6010329, 8309
203, 6002030, 6010342, 8312
204, 6002040, 6010355, 8315
205, 6002050, 6010368, 8318
206, 6002060, 6010382, 8322
207, 6002070, 6010395, 8325
208, 6002080, 6010408, 8328
209, 6002090, 6010421, 8331
210, 6002100, 6010434, 8334
211, 6002110, 6010448, 8338
212, 6002120, 6010461, 8341
213, 6002130, 6010474, 8344
214, 6002140, 6010487, 8347
215, 6002150, 6010500, 8350
216, 6002160, 6010514, 8354
217, 6002170, 6010527, 8357
218, 6002180, 6010540, 8360
219, 6002190, 6010553, 8363
220, 6002200, 6010566, 8366
221, 6002210, 6010580, 8370
222, 6002220, 6010593, 8373
223, 6002230, 6010606, 8376
224, 6002240, 6010619, 8379
225, 6002250, 6010632, 8382
226, 6002260, 6010646, 8386
227, 6002270, 6010659, 8389
228, 6002280, 6010672, 8392
229, 6002290, 6010685, 8395
230, 6002300, 6010698, 8398
231, 6002310, 6010712, 8402
232, 6002320, 6010725, 8405
233, 6002330, 6010738, 8408
234, 6002340, 6010751, 8411
235, 6002350, 6010764, 8414
236, 6002360, 6010778, 8418
237, 6002370, 6010791, 8421
238, 6002380, 6010804, 8424
239, 6002390, 6010817, 8427
240, 6002400, 6010830, 8430
241, 6002410, 6010844, 8434
242, 6002420, 6010857, 8437
243, 6002430, 6010870, 8440
244, 6002440, 6010883, 8443
245, 6002450, 6010896, 8446
246, 6002460, 6010910, 8450
247, 6002470, 6010923, 8453
248, 6002480, 6010936, 8456
249, 6002490, 6010949, 8459
250, 6002500, 6010976, 8476
251, 6002510, 6010989, 8479
252, 6002520, 6011002, 8482
253, 6002530, 6011016, 8486
254, 6002540, 6011029, 8489
255, 6002550, 6011042, 8492
256, 6002560, 6011055, 8495
257, 6002570, 6011068, 8498
258, 6002580, 6011082, 8502
259, 6002590, 6011095, 8505
260, 6002600, 6011108, 8508
261, 6002610, 6011121, 8511
262, 6002620, 6011134, 8514
263, 6002630, 6011148, 8518
264, 6002640, 6011161, 8521
265, 6002650, 6011174, 8524
266, 6002660, 6011187, 8527
267, 6002670, 6011200, 8530
268, 6002680, 6011214, 8534
269, 6002690, 6011227, 8537
270, 6002700, 6011240, 8540
271, 6002710, 6011253, 8543
272, 6002720, 6011266, 8546
273, 6002730, 6011280, 8550
274, 6002740, 6011293, 8553
275, 6002750, 6011306, 8556
276, 6002760, 6011319, 8559
277, 6002770, 6011332, 8562
278, 6002780, 6011346, 8566
279, 6002790, 6011359, 8569
280, 6002800, 6011372, 8572
281, 6002810, 6011385, 8575
282, 6002820, 6011398, 8578
283, 6002830, 6011412, 8582
284, 6002840, 6011425, 8585
285, 6002850, 6011438, 8588
286, 6002860, 6011451, 8591
287, 6002870, 6011464, 8594
288, 6002880, 6011478, 8598
289, 6002890, 6011491, 8601
290, 6002900, 6011504, 8604
291, 6002910, 6011517, 8607
292, 6002920, 6011530, 8610
293, 6002930, 6011544, 8614
294, 6002940, 6011557, 8617
295, 6002950, 6011570, 8620
296, 6002960, 6011583, 8623
297, 6002970, 6011596, 8626
298, 6002980, 6011610, 8630
299, 6002990, 6011623, 8633
300, 6003000, 6011649, 8649
301, 6003010, 6011663, 8653
302, 6003020, 6011676, 8656
303, 6003030, 6011689, 8659
304, 6003040, 6011702, 8662
305, 6003050, 6011715, 8665
306, 6003060, 6011729, 8669
307, 6003070, 6011742, 8672
308, 6003080, 6011755, 8675
309, 6003090, 6011768, 8678
310, 6003100, 6011781, 8681
311, 6003110, 6011795, 8685
312, 6003120, 6011808, 8688
313, 6003130, 6011821, 8691
314, 6003140, 6011834, 8694
315, 6003150, 6011847, 8697
316, 6003160, 6011861, 8701
317, 6003170, 6011874, 8704
318, 6003180, 6011887, 8707
319, 6003190, 6011900, 8710
320, 6003200, 6011913, 8713
321, 6003210, 6011927, 8717
322, 6003220, 6011940, 8720
323, 6003230, 6011953, 8723
324, 6003240, 6011966, 8726
325, 6003250, 6011979, 8729
326, 6003260, 6011993, 8733
327, 6003270, 6012006, 8736
328, 6003280, 6012019, 8739
329, 6003290, 6012032, 8742
330, 6003300, 6012045, 8745
331, 6003310, 6012059, 8749
332, 6003320, 6012072, 8752
333, 6003330, 6012085, 8755
334, 6003340, 6012098, 8758
335, 6003350, 6012111, 8761
336, 6003360, 6012125, 8765
337, 6003370, 6012138, 8768
338, 6003380, 6012151, 8771
339, 6003390, 6012164, 8774
340, 6003400, 6012177, 8777
341, 6003410, 6012191, 8781
342, 6003420, 6012204, 8784
343, 6003430, 6012217, 8787
344, 6003440, 6012230, 8790
345, 6003450, 6012243, 8793
346, 6003460, 6012257, 8797
347, 6003470, 6012270, 8800
348, 6003480, 6012283, 8803
349, 6003490, 6012296, 8806
350, 6003500, 6012323, 8823
351, 6003510, 6012336, 8826
352, 6003520, 6012349, 8829
353, 6003530, 6012362, 8832
