Message ID, CreationTime [μs]  , ReceiveTime [μs] , TimeDifference [μs]
0, 5000000, 5002070, 2070
1, 5010000, 5014012, 4012
2, 5020000, 5020118, 118
3, 5030000, 5032065, 2065
4, 5040000, 5044012, 4012
5, 5050000, 5050118, 118
6, 5060000, 5062065, 2065
7, 5070000, 5074012, 4012
8, 5080000, 5080119, 119
9, 5090000, 5092065, 2065
10, 5100000, 5104012, 4012
11, 5110000, 5110119, 119
12, 5120000, 5122065, 2065
13, 5130000, 5134012, 4012
14, 5140000, 5140119, 119
15, 5150000, 5152065, 2065
16, 5160000, 5164012, 4012
17, 5170000, 5170119, 119
18, 5180000, 5182065, 2065
19, 5190000, 5194012, 4012
20, 5200000, 5200119, 119
21, 5210000, 5212065, 2065
22, 5220000, 5224012, 4012
23, 5230000, 5230119, 119
24, 5240000, 5242065, 2065
25, 5250000, 5254012, 4012
26, 5260000, 5260119, 119
27, 5270000, 5272065, 2065
28, 5280000, 5284012, 4012
29, 5290000, 5290119, 119
30, 5300000, 5302065, 2065
31, 5310000, 5314012, 4012
32, 5320000, 5320119, 119
33, 5330000, 5332065, 2065
34, 5340000, 5344012, 4012
35, 5350000, 5350119, 119
36, 5360000, 5362065, 2065
37, 5370000, 5374012, 4012
38, 5380000, 5380119, 119
39, 5390000, 5392065, 2065
40, 5400000, 5404012, 4012
41, 5410000, 5410119, 119
42, 5420000, 5422065, 2065
43, 5430000, 5434012, 4012
44, 5440000, 5440119, 119
45, 5450000, 5452065, 2065
46, 5460000, 5464012, 4012
47, 5470000, 5470119, 119
48, 5480000, 5482065, 2065
49, 5490000, 5494012, 4012
50, 5500000, 5500119, 119
51, 5510000, 5512066, 2066
52, 5520000, 5524012, 4012
53, 5530000, 5530119, 119
54, 5540000, 5542066, 2066
55, 5550000, 5554012, 4012
56, 5560000, 5560119, 119
57, 5570000, 5572066, 2066
58, 5580000, 5584012, 4012
59, 5590000, 5590119, 119
60, 5600000, 5602066, 2066
61, 5610000, 5614012, 4012
62, 5620000, 5620119, 119
63, 5630000, 5632066, 2066
64, 5640000, 5644012, 4012
65, 5650000, 5650119, 119
66, 5660000, 5662066, 2066
67, 5670000, 5674012, 4012
68, 5680000, 5680119, 119
69, 5690000, 5692066, 2066
70, 5700000, 5704012, 4012
71, 5710000, 5710119, 119
72, 5720000, 5722066, 2066
73, 5730000, 5734012, 4012
74, 5740000, 5740119, 119
75, 5750000, 5752066, 2066
76, 5760000, 5764012, 4012
77, 5770000, 5770119, 119
78, 5780000, 5782066, 2066
79, 5790000, 5794012, 4012
80, 5800000, 5800119, 119
81, 5810000, 5812066, 2066
82, 5820000, 5824012, 4012
83, 5830000, 5830119, 119
84, 5840000, 5842066, 2066
85, 5850000, 5854012, 4012
86, 5860000, 5860119, 119
87, 5870000, 5872066, 2066
88, 5880000, 5884012, 4012
89, 5890000, 5890119, 119
90, 5900000, 5902066, 2066
91, 5910000, 5914012, 4012
92, 5920000, 5920119, 119
93, 5930000, 5932066, 2066
94, 5940000, 5944012, 4012
95, 5950000, 5950119, 119
96, 5960000, 5962066, 2066
97, 5970000, 5974012, 4012
98, 5980000, 5980119, 119
99, 5990000, 5992066, 2066
100, 6000000, 6004046, 4046
101, 6010000, 6034804, 24804
104, 6040000, 6064915, 24915
107, 6070000, 6094915, 24915
110, 6100000, 6124915, 24915
113, 6130000, 6154974, 24974
116, 6160000, 6184974, 24974
119, 6190000, 6214974, 24974
122, 6220000, 6244974, 24974
125, 6250000, 6274974, 24974
128, 6280000, 6304974, 24974
131, 6310000, 6334974, 24974
134, 6340000, 6364974, 24974
137, 6370000, 6394974, 24974
140, 6400000, 6424974, 24974
143, 6430000, 6454974, 24974
146, 6460000, 6484974, 24974
149, 6490000, 6514974, 24974
152, 6520000, 6544974, 24974
155, 6550000, 6574974, 24974
158, 6580000, 6604974, 24974
161, 6610000, 6634974, 24974
164, 6640000, 6664974, 24974
167, 6670000, 6694974, 24974
170, 6700000, 6724974, 24974
173, 6730000, 6754974, 24974
176, 6760000, 6784974, 24974
179, 6790000, 6814974, 24974
182, 6820000, 6844974, 24974
185, 6850000, 6874974, 24974
188, 6880000, 6904974, 24974
191, 6910000, 6934974, 24974
194, 6940000, 6964974, 24974
197, 6970000, 6994974, 24974
203, 7030000, 7055033, 25033
206, 7060000, 7085033, 25033
209, 7090000, 7115033, 25033
212, 7120000, 7145033, 25033
215, 7150000, 7175033, 25033
218, 7180000, 7205033, 25033
221, 7210000, 7235033, 25033
224, 7240000, 7265033, 25033
227, 7270000, 7295033, 25033
230, 7300000, 7325033, 25033
233, 7330000, 7355033, 25033
236, 7360000, 7385033, 25033
239, 7390000, 7415033, 25033
242, 7420000, 7445033, 25033
245, 7450000, 7475033, 25033
248, 7480000, 7505033, 25033
251, 7510000, 7535033, 25033
254, 7540000, 7565033, 25033
257, 7570000, 7595033, 25033
260, 7600000, 7625033, 25033
263, 7630000, 7655033, 25033
266, 7660000, 7685033, 25033
269, 7690000, 7715033, 25033
272, 7720000, 7745033, 25033
275, 7750000, 7775033, 25033
278, 7780000, 7805033, 25033
281, 7810000, 7835033, 25033
284, 7840000, 7865033, 25033
287, 7870000, 7895033, 25033
290, 7900000, 7925033, 25033
293, 7930000, 7955033, 25033
296, 7960000, 7985033, 25033
299, 7990000, 8015033, 25033
302, 8020000, 8045033, 25033
305, 8050000, 8075033, 25033
308, 8080000, 8105033, 25033
311, 8110000, 8135033, 25033
314, 8140000, 8165033, 25033
317, 8170000, 8195033, 25033
320, 8200000, 8225033, 25033
323, 8230000, 8255033, 25033
326, 8260000, 8285033, 25033
329, 8290000, 8315033, 25033
332, 8320000, 8345033, 25033
335, 8350000, 8375033, 25033
338, 8380000, 8405033, 25033
341, 8410000, 8435033, 25033
344, 8440000, 8465033, 25033
347, 8470000, 8495033, 25033
350, 8500000, 8525033, 25033
353, 8530000, 8555033, 25033
356, 8560000, 8585033, 25033
359, 8590000, 8615033, 25033
362, 8620000, 8645033, 25033
365, 8650000, 8675033, 25033
368, 8680000, 8705033, 25033
371, 8710000, 8735033, 25033
374, 8740000, 8765033, 25033
377, 8770000, 8795033, 25033
380, 8800000, 8825033, 25033
383, 8830000, 8855033, 25033
386, 8860000, 8885033, 25033
389, 8890000, 8915033, 25033
392, 8920000, 8945033, 25033
395, 8950000, 8975033, 25033
398, 8980000, 9005033, 25033
401, 9010000, 9035033, 25033
404, 9040000, 9065033, 25033
407, 9070000, 9095033, 25033
410, 9100000, 9125033, 25033
413, 9130000, 9155033, 25033
416, 9160000, 9185033, 25033
419, 9190000, 9215033, 25033
422, 9220000, 9245033, 25033
425, 9250000, 9275033, 25033
428, 9280000, 9305033, 25033
431, 9310000, 9335033, 25033
434, 9340000, 9365033, 25033
437, 9370000, 9395033, 25033
440, 9400000, 9425033, 25033
443, 9430000, 9455033, 25033
446, 9460000, 9485033, 25033
449, 9490000, 9515033, 25033
452, 9520000, 9545033, 25033
455, 9550000, 9575033, 25033
458, 9580000, 9605033, 25033
461, 9610000, 9635033, 25033
464, 9640000, 9665033, 25033
467, 9670000, 9695033, 25033
470, 9700000, 9725033, 25033
473, 9730000, 9755033, 25033
476, 9760000, 9785033, 25033
479, 9790000, 9815033, 25033
482, 9820000, 9845033, 25033
485, 9850000, 9875033, 25033
488, 9880000, 9905033, 25033
491, 9910000, 9935033, 25033
494, 9940000, 9965033, 25033
497, 9970000, 9995033, 25033
